Farm_ID,Region_Type,Crop,Days_To_Detect_Disease,Expert_Access,AI_Advice_Used,Advice_Validated_By_Expert,Disease_Severity_Score,Advisory_Gap_Score,Wrong_Decision
1,Urban_Near,Maize,4,1,0,0,8.714817031,0.519268894,0
2,Semi_Remote,Cotton,16,0,0,0,25.70657092,25.0620801,0
3,Remote,Rice,20,0,0,0,43.10740186,44.42000549,0
4,Urban_Near,Pulses,8,0,1,1,17.58228612,14.12890704,0
5,Semi_Remote,Pulses,17,1,0,0,35.73590775,1.124644083,0
6,Remote,Rice,17,1,0,0,35.07250357,33.84587802,0
7,Urban_Near,Cotton,7,0,0,0,8.834212169,29.9266845,0
8,Semi_Remote,Rice,8,0,0,1,16.15857278,22.60931245,0
9,Remote,Wheat,14,0,0,0,29.05046418,58.16733278,0
10,Remote,Cotton,17,0,0,0,33.79806995,58.84170158,0
11,Remote,Maize,3,0,1,0,7.875417676,50.76531038,1
12,Urban_Near,Wheat,8,0,0,1,14.35732045,22.24849049,0
13,Remote,Wheat,5,0,1,0,5.262702569,51.68072479,1
14,Urban_Near,Pulses,3,1,0,0,5.842806831,0.378310529,0
15,Urban_Near,Cotton,6,0,1,0,5.653747334,20.6146809,1
16,Urban_Near,Rice,14,0,0,0,20.85082231,34.8450559,0
17,Urban_Near,Pulses,1,0,1,0,0,29.98558339,1
18,Remote,Cotton,22,0,1,0,40.85299599,60.89110295,1
19,Remote,Rice,4,0,0,0,11.41670863,51.46753501,0
20,Urban_Near,Cotton,12,0,0,1,30.63164648,23.17233877,0
21,Urban_Near,Wheat,16,1,0,0,34.5442878,3.275236497,0
22,Semi_Remote,Maize,16,0,0,0,34.71950503,13.33284812,0
23,Urban_Near,Pulses,5,0,1,0,10.29464605,32.98512863,1
24,Urban_Near,Pulses,22,1,0,0,38.56397846,0,0
25,Semi_Remote,Cotton,15,1,0,1,26.28630695,0,0
26,Urban_Near,Rice,13,0,0,0,18.70042128,31.53855474,0
27,Semi_Remote,Pulses,11,0,1,0,20.12900867,27.06545023,1
28,Urban_Near,Pulses,1,0,1,1,9.337169003,28.12233394,0
29,Remote,Maize,22,0,1,1,49.94148263,52.03842055,0
30,Urban_Near,Pulses,14,1,0,0,30.33219308,0,0
31,Semi_Remote,Wheat,4,1,1,1,2.079180637,7.175073156,0
32,Remote,Wheat,6,0,1,1,11.94636268,47.01298016,0
33,Remote,Rice,1,0,0,0,3.879250043,57.5657638,0
34,Urban_Near,Cotton,14,1,1,0,25.64798079,0,1
35,Remote,Maize,18,1,0,1,41.09280174,33.19970865,0
36,Semi_Remote,Maize,11,1,1,0,14.16487852,6.653456566,1
37,Urban_Near,Pulses,8,1,1,0,18.02998907,0,1
38,Urban_Near,Pulses,24,0,0,0,52.73483862,26.54048366,0
39,Semi_Remote,Wheat,8,0,0,1,18.31569907,22.05103517,0
40,Urban_Near,Maize,3,1,0,1,7.697676438,0,0
41,Urban_Near,Rice,20,1,0,1,36.43970232,0,0
42,Remote,Rice,23,0,1,0,44.85726537,56.36384854,1
43,Semi_Remote,Rice,13,0,0,0,26.8188447,20.49896925,0
44,Urban_Near,Cotton,21,1,0,0,35.62194279,0,0
45,Urban_Near,Wheat,3,0,0,1,18.16783721,21.85552247,0
46,Urban_Near,Maize,8,1,0,0,14.27800981,0.426026499,0
47,Remote,Pulses,6,0,0,0,16.93509358,60.73104435,0
48,Semi_Remote,Cotton,8,0,0,1,20.41889696,15.46572176,0
49,Urban_Near,Rice,19,1,1,0,37.07452651,0,1
50,Semi_Remote,Maize,10,0,1,0,16.54402382,36.48782429,1
51,Urban_Near,Wheat,4,1,1,0,8.102808816,0,1
52,Urban_Near,Pulses,1,0,0,0,1.600075744,33.21981221,0
53,Semi_Remote,Wheat,19,0,0,0,40.68391821,10.06069914,0
54,Urban_Near,Rice,10,1,0,0,11.49009125,0,0
55,Semi_Remote,Wheat,21,1,1,0,36.62192585,2.051330529,1
56,Semi_Remote,Pulses,20,0,1,0,42.97710304,21.64846923,1
57,Urban_Near,Pulses,6,0,0,1,11.68798006,24.95424946,0
58,Semi_Remote,Pulses,23,0,0,0,50.95140862,23.81966752,0
59,Remote,Maize,4,0,1,0,3.574490317,57.39257127,1
60,Semi_Remote,Cotton,16,1,0,0,30.5317534,2.766856849,0
61,Semi_Remote,Maize,9,0,0,1,21.45961921,26.63087964,0
62,Semi_Remote,Rice,5,1,0,0,9.906744871,0,0
63,Semi_Remote,Maize,9,0,0,0,26.01744244,23.65794668,0
64,Semi_Remote,Cotton,2,0,1,1,20.64789057,27.89639254,0
65,Remote,Wheat,21,1,0,0,45.11674338,33.46730262,0
66,Remote,Rice,3,1,1,0,10.27052745,30.64536712,1
67,Remote,Maize,15,1,0,0,34.81440772,30.57356073,0
68,Semi_Remote,Rice,12,0,0,0,30.4068854,26.44477007,0
69,Remote,Maize,14,0,0,0,20.55486434,52.56918512,0
70,Urban_Near,Maize,9,0,1,0,22.34597363,25.84203576,1
71,Urban_Near,Cotton,22,0,0,0,37.01209755,14.62480728,0
72,Semi_Remote,Pulses,12,1,0,1,33.91951252,0,0
73,Semi_Remote,Wheat,1,1,0,1,0.642777807,0.651705566,0
