StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,CreatedOn,year,month
KARNATAKA,HUBBALLI,PUSAD,NA,HORTICULTURE,Others,Others,Market,Farmer asked about sowing time of Onion?,2025-03-20T06:45:00,2025,3
MAHARASHTRA,AKOLA,SAKOLI,NA,HORTICULTURE,Others,Others,Market,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-08T02:35:00,2025,3
MAHARASHTRA,LATUR,PUSAD,NA,AGRICULTURE,Others,Others,Market,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-02-03T08:13:00,2025,2
UTTAR PRADESH,LUCKNOW,SAKOLI,NA,HORTICULTURE,Others,Others,Market,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-03-10T02:44:00,2025,3
MAHARASHTRA,LATUR,PAUNI,NA,AGRICULTURE,Others,Others,Market,Farmer asked about irrigation schedule for Onion?,2025-02-02T11:51:00,2025,2
UTTAR PRADESH,LUCKNOW,SAKOLI,NA,AGRICULTURE,Others,Others,Market,Farmer asked about weather impact on Wheat?,2025-01-05T15:51:00,2025,1
KARNATAKA,MYSURU,SAKOLI,NA,HORTICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-02-22T07:15:00,2025,2
KARNATAKA,BELAGAVI,MOHADI,NA,HORTICULTURE,Others,Others,Market,Farmer asked about nutrient spray for flowering in Orange?,2025-01-11T08:54:00,2025,1
MAHARASHTRA,YAVATMAL,SAKOLI,NA,HORTICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-24T19:46:00,2025,1
MADHYA PRADESH,BHOPAL,SAKOLI,NA,HORTICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-23T17:19:00,2025,3
KARNATAKA,HUBBALLI,SAKOLI,NA,HORTICULTURE,Others,Others,Nutrient Management,Farmer asked about weed management in Wheat?,2025-01-17T03:13:00,2025,1
KARNATAKA,MYSURU,PAUNI,NA,AGRICULTURE,Others,Others,Market,FARMER ASKED ABOUT CONTROL BLIGHT ATTACK IN GREEN GRAM ?,2025-02-11T16:32:00,2025,2
KARNATAKA,BELAGAVI,UMARKHED,NA,HORTICULTURE,Others,Others,Seeds,FARMER ASKED ABOUT MARKET RATE OF TURMERIC CROP?,2025-01-27T18:42:00,2025,1
MADHYA PRADESH,INDORE,RALEGAON,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about market rate of Rice?,2025-02-16T14:34:00,2025,2
KARNATAKA,BELAGAVI,PAUNI,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about disease management in Watermelon?,2025-01-05T17:54:00,2025,1
MADHYA PRADESH,BHOPAL,PUSAD,NA,HORTICULTURE,Others,Others,Market,Farmer asked about disease management in Watermelon?,2025-01-20T23:13:00,2025,1
MADHYA PRADESH,INDORE,PAUNI,NA,HORTICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT MARKET RATE OF GREEN GRAM IN PUSAD MARKET ?,2025-01-25T09:52:00,2025,1
KARNATAKA,HUBBALLI,PUSAD,NA,HORTICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-01-20T01:22:00,2025,1
KARNATAKA,HUBBALLI,PUSAD,NA,HORTICULTURE,Others,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Sesame?,2025-03-18T09:57:00,2025,3
MAHARASHTRA,YAVATMAL,RALEGAON,NA,AGRICULTURE,Others,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-02-15T22:19:00,2025,2
MAHARASHTRA,YAVATMAL,SAKOLI,NA,AGRICULTURE,Others,Others,Nutrient Management,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-01-22T17:39:00,2025,1
MADHYA PRADESH,BHOPAL,PUSAD,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about storage method for Sugarcane?,2025-02-10T03:06:00,2025,2
UTTAR PRADESH,MEERUT,MOHADI,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about fertilizer dose for Soybean?,2025-02-05T07:59:00,2025,2
MAHARASHTRA,LATUR,SAKOLI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER?,2025-03-16T23:33:00,2025,3
KARNATAKA,HUBBALLI,UMARKHED,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about sowing time of Rice?,2025-02-28T07:21:00,2025,2
MADHYA PRADESH,INDORE,RALEGAON,NA,AGRICULTURE,Others,Others,Market,FARMER ASKED ABOUT SOWING TIME TURMERIC CROP?,2025-02-22T01:48:00,2025,2
TELANGANA,WARANGAL,MOHADI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT HARVESTIN TIME OF GROUNDNUT?,2025-03-24T21:22:00,2025,3
MAHARASHTRA,NAGPUR,RALEGAON,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-01-07T00:35:00,2025,1
UTTAR PRADESH,KANPUR,MOHADI,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about suitable variety for Green gram?,2025-01-26T15:50:00,2025,1
TELANGANA,WARANGAL,SAKOLI,NA,AGRICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-01-23T17:34:00,2025,1
TELANGANA,KARIMNAGAR,PAUNI,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about weather impact on Pigeon pea?,2025-02-24T23:50:00,2025,2
MADHYA PRADESH,INDORE,RALEGAON,NA,HORTICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING SIZE AND QUALITY OF ONION ?,2025-03-23T04:19:00,2025,3
MADHYA PRADESH,INDORE,RALEGAON,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about post harvest management in turmeric seed storage ?,2025-03-10T02:43:00,2025,3
TELANGANA,KARIMNAGAR,UMARKHED,NA,AGRICULTURE,Others,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-02-06T09:09:00,2025,2
UTTAR PRADESH,MEERUT,MOHADI,NA,AGRICULTURE,Others,Others,Weather,FARMER ASKED ABOUT MARKET RATE OF TUR IN LATUR MARKET?,2025-02-02T02:52:00,2025,2
UTTAR PRADESH,LUCKNOW,PAUNI,NA,HORTICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-03-07T15:50:00,2025,3
UTTAR PRADESH,KANPUR,PAUNI,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about disease management in Wheat?,2025-03-18T08:10:00,2025,3
MAHARASHTRA,AKOLA,MOHADI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-24T13:54:00,2025,1
TELANGANA,KARIMNAGAR,MOHADI,NA,AGRICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT MARKET RATE OF BENGAL GRAM?,2025-03-02T14:48:00,2025,3
MAHARASHTRA,WARDHA,MOHADI,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED ABOUT SPRAY FOR CONTROL OF APHIDS, JASSIDS, THRIPS, WHITEFLY ATTACK ON CROP ?",2025-03-19T09:43:00,2025,3
MADHYA PRADESH,BHOPAL,SAKOLI,NA,HORTICULTURE,Others,Others,Market,FARMER ASKED ABOUT DRIP IRRIGATION SCHEMES ?,2025-01-31T23:39:00,2025,1
UTTAR PRADESH,LUCKNOW,UMARKHED,NA,AGRICULTURE,Others,Others,Market,FARMER ASKED ABOUT FERTILIZER DOSE FOR SOYBEAN CROP?,2025-01-20T16:46:00,2025,1
TELANGANA,KARIMNAGAR,MOHADI,NA,HORTICULTURE,Others,Others,Market,Farmer asked about government subsidy for Tomato?,2025-02-06T17:43:00,2025,2
MADHYA PRADESH,INDORE,SAKOLI,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about crop insurance for Soybean?,2025-01-01T17:10:00,2025,1
MAHARASHTRA,NAGPUR,PUSAD,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about weed management in Cotton?,2025-02-28T07:22:00,2025,2
MADHYA PRADESH,UJJAIN,UMARKHED,NA,HORTICULTURE,Others,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Tomato?,2025-01-14T20:53:00,2025,1
TELANGANA,KARIMNAGAR,RALEGAON,NA,AGRICULTURE,Others,Others,Market,Farmer asked about market rate of Tomato?,2025-03-25T01:01:00,2025,3
MAHARASHTRA,YAVATMAL,PUSAD,NA,HORTICULTURE,Others,Others,Market,FAMER ASKED ABOUT How to store turmeric rhizomes?,2025-03-03T16:19:00,2025,3
UTTAR PRADESH,KANPUR,MOHADI,NA,AGRICULTURE,Others,Others,Nutrient Management,Farmer asked about weather impact on Soybean?,2025-03-18T19:24:00,2025,3
UTTAR PRADESH,MEERUT,RALEGAON,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about crop insurance for Groundnut?,2025-02-07T17:29:00,2025,2
UTTAR PRADESH,MEERUT,UMARKHED,NA,HORTICULTURE,Others,Others,Nutrient Management,Farmer asked about crop insurance for Watermelon?,2025-03-18T19:22:00,2025,3
UTTAR PRADESH,KANPUR,SAKOLI,NA,AGRICULTURE,Others,Others,Seeds,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-01-21T07:58:00,2025,1
MADHYA PRADESH,BHOPAL,MOHADI,NA,HORTICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-03-03T09:33:00,2025,3
TELANGANA,WARANGAL,PUSAD,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about weather impact on Maize?,2025-02-18T09:04:00,2025,2
UTTAR PRADESH,LUCKNOW,PAUNI,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about nutrient spray for flowering in Orange?,2025-03-18T17:47:00,2025,3
UTTAR PRADESH,LUCKNOW,MOHADI,NA,AGRICULTURE,Others,Others,Weather,FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,2025-01-09T03:32:00,2025,1
TELANGANA,WARANGAL,RALEGAON,NA,HORTICULTURE,Others,Others,Seeds,Farmer asked about market rate of Onion?,2025-02-10T17:14:00,2025,2
KARNATAKA,HUBBALLI,MOHADI,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about nutrient spray for flowering in Onion?,2025-01-11T19:58:00,2025,1
KARNATAKA,MYSURU,MOHADI,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about nutrient spray for flowering in Groundnut?,2025-01-28T16:34:00,2025,1
TELANGANA,WARANGAL,MOHADI,NA,HORTICULTURE,Others,Others,Market,Farmer asked about sowing time of Pigeon pea?,2025-02-03T16:39:00,2025,2
MAHARASHTRA,WARDHA,PAUNI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked about fertilizer dose for Groundnut?,2025-01-20T05:28:00,2025,1
MAHARASHTRA,YAVATMAL,MOHADI,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about sowing time of Groundnut?,2025-02-06T02:04:00,2025,2
UTTAR PRADESH,LUCKNOW,UMARKHED,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about storage method for Bengal gram?,2025-02-06T07:50:00,2025,2
TELANGANA,WARANGAL,MOHADI,NA,AGRICULTURE,Others,Others,Weather,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-02-09T03:30:00,2025,2
KARNATAKA,MYSURU,PUSAD,NA,AGRICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-01-10T06:54:00,2025,1
MADHYA PRADESH,UJJAIN,MOHADI,NA,HORTICULTURE,Others,Others,Market,Farmer asked about market rate of Watermelon?,2025-03-10T07:47:00,2025,3
TELANGANA,KARIMNAGAR,PAUNI,NA,HORTICULTURE,Others,Others,Nutrient Management,FARMER ASKED ABOUT WHICH VARIETIES ARE SUTAIBLE FOR PIGEON PEA CROP PRODUCTION ?,2025-03-09T13:16:00,2025,3
TELANGANA,KARIMNAGAR,RALEGAON,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about sowing time of Green gram?,2025-03-16T20:49:00,2025,3
MADHYA PRADESH,BHOPAL,SAKOLI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT AGRISTACK HELPLINE NUMBER ?,2025-02-25T20:56:00,2025,2
MAHARASHTRA,YAVATMAL,SAKOLI,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about irrigation schedule for Orange?,2025-01-04T17:04:00,2025,1
TELANGANA,KARIMNAGAR,PUSAD,NA,AGRICULTURE,Others,Others,Market,Farmer asked about weather impact on Orange?,2025-02-26T17:24:00,2025,2
MADHYA PRADESH,BHOPAL,RALEGAON,NA,AGRICULTURE,Others,Others,Plant Protection,Farmer asked about storage method for Turmeric?,2025-02-23T22:39:00,2025,2
TELANGANA,WARANGAL,PUSAD,NA,AGRICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT FARMER ID CARD PROBLEM?,2025-03-10T18:14:00,2025,3
MAHARASHTRA,LATUR,RALEGAON,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about storage method for Bengal gram?,2025-01-10T02:29:00,2025,1
KARNATAKA,HUBBALLI,SAKOLI,NA,AGRICULTURE,Others,Others,Market,Farmer asked about nutrient spray for flowering in Bengal gram?,2025-02-08T03:50:00,2025,2
MAHARASHTRA,LATUR,MOHADI,NA,AGRICULTURE,Others,Others,Market,Farmer asked about pest control in Onion?,2025-02-08T21:15:00,2025,2
UTTAR PRADESH,KANPUR,UMARKHED,NA,HORTICULTURE,Others,Others,Nutrient Management,Farmer asked about weather impact on Chilli?,2025-01-19T11:25:00,2025,1
MAHARASHTRA,LATUR,SAKOLI,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about weather impact on Onion?,2025-01-10T08:15:00,2025,1
MAHARASHTRA,LATUR,PAUNI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON PADDY CROP ?,2025-03-18T14:58:00,2025,3
TELANGANA,KARIMNAGAR,SAKOLI,NA,HORTICULTURE,Others,Others,Seeds,Farmer asked about crop insurance for Maize?,2025-01-11T11:57:00,2025,1
KARNATAKA,MYSURU,RALEGAON,NA,AGRICULTURE,Others,Others,Seeds,FARMER ASKED ABOUT KISAN CREDIT CARD?,2025-02-02T22:05:00,2025,2
MADHYA PRADESH,INDORE,PAUNI,NA,HORTICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-15T07:59:00,2025,3
KARNATAKA,MYSURU,UMARKHED,NA,HORTICULTURE,Others,Others,Weather,Farmer asked about pest control in Pigeon pea?,2025-02-10T02:38:00,2025,2
UTTAR PRADESH,MEERUT,RALEGAON,NA,AGRICULTURE,Others,Others,Weather,Farmer asked about disease management in Rice?,2025-03-23T11:36:00,2025,3
KARNATAKA,HUBBALLI,PUSAD,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about weed management in Sugarcane?,2025-03-03T16:21:00,2025,3
UTTAR PRADESH,KANPUR,MOHADI,NA,AGRICULTURE,Others,Others,Seeds,Farmer asked about sowing time of Orange?,2025-02-19T11:39:00,2025,2
MADHYA PRADESH,INDORE,MOHADI,NA,AGRICULTURE,Others,Others,Plant Protection,FARMER ASKED ABOUT FERTILIZER DOSES FOR CITRUS CROP ?,2025-03-11T03:45:00,2025,3
MADHYA PRADESH,UJJAIN,PUSAD,NA,HORTICULTURE,Others,Others,Plant Protection,Farmer asked about irrigation schedule for Turmeric?,2025-03-01T21:50:00,2025,3
UTTAR PRADESH,LUCKNOW,MOHADI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked about nutrient spray for flowering in Green gram?,2025-02-01T11:18:00,2025,2
